company,year,sector,revenue_cagr_3y,pat_margin,pat_margin_trend,ocf_pat_ratio,debt_equity,roce,roe,wc_days,debtor_days_trend,interest_coverage,pe_vs_peer_median,ev_ebitda_vs_peer,ps_ratio,price_vs_last_pe_round,pb_ratio,ofs_pct,gcp_pct,promoter_post_holding,promoter_pledge_flag,fresh_for_debt_pct,issue_size_cr,governance_score,rpt_intensity,auditor_big4,auditor_qualified,litigation_severity,risk_factor_severity,qib_subscription,hni_subscription,retail_subscription,gmp_pct,news_sentiment,anchor_quality,bull_regime,nifty_180d_ret,listing_gain,alpha_180d,label
IPO_0000,2014,Infra,-0.017524531658736214,-0.038421699770605416,-0.0002312380213280365,0.7681179479388991,0.8524393711389113,0.07538052464429505,0.02009896074849883,102.95389017538061,26.815086429958907,3.127539549828584,0.87746211175375,1.6535850264674237,6.346119602818895,1.712765558272453,3.271701987515287,0.705003518948612,0.007811178369917367,0.6055608135204135,1,0.05058841205216799,3953.879636226013,7.819003696157841,0.6448086780335333,0,0,0.26220340331473313,5.620259025781023,0.8535242948609779,1.8815887738825168,6.379439365589978,-0.031138992666527976,0.18474149529369335,8.4401915021555,1,0.20325915121783275,0.03356325455954841,0.13767154912617674,2
IPO_0001,2022,Chemicals,0.30537118444715056,0.08805620929833476,0.006129933839864654,0.6362178177039376,0.19257375767046808,0.042909300415548066,0.03588768640512091,125.61581843270571,1.018590231082237,14.87713330725057,1.1619853812143046,1.032723181909219,1.7141199529750915,1.2697407655636948,2.0590948535184515,0.5842514299076641,0.011550950811113802,0.5334923095836275,0,0.20562360619872658,349.3187367023453,6.030740374572223,0.3277282786257307,0,1,1.747444145984599,5.456522878614213,1.3328629450261775,11.273180258361398,8.736134811714855,0.31672572441458924,-0.41343754133790167,3.98187480978184,0,0.11496973451441381,0.1594335700105117,-0.21300563782414855,0
IPO_0002,2021,IT/SaaS,0.23240259338406444,0.119162759122661,-0.020722600734175818,2.1673703772075,0.8945752312130534,0.09891229116708523,0.09556905478043165,71.28338422146777,1.0469997302693543,0.7555161183593947,0.5728549166332056,1.467921736076797,1.9267757304431372,1.5451450370089197,2.234209785562729,0.3059224126778414,0.061316655507792535,0.3256022543841646,0,0.13399689991095667,137.87786427284755,7.9244712272541475,0.24144182001473852,0,0,2.5029096282176253,1.2015374441521876,1.369678311508009,2.142336805391979,2.9597253915103456,0.33438954238410035,0.18802582841520038,5.9778657335960395,1,0.02709163777351694,0.1381885543840981,0.6002178957926319,2
IPO_0003,2018,IT/SaaS,0.537390342402611,0.13448602190585207,0.004310502699307343,1.1279560156497213,0.09926120422549281,0.19099355849805671,0.23369689955892017,93.23580410878941,7.948856000797467,6.71545776028207,1.0577759801372641,0.38318685764646865,1.1510679023338928,0.71164434605411,1.2290454783570122,0.5184270220179612,0.07297568763346148,0.5956451611962432,0,0.18276024757948336,1564.8397507702232,6.7076146316929,0.13380303190878381,1,0,0.5074671719520055,1.0,3.4226561827403383,0.17160591469487324,7.607471465307732,0.10662141808565866,0.3689929990057407,2.737148541004077,0,0.1498078522919138,-0.12741416666314112,0.01712247228404186,1
IPO_0004,2018,IT/SaaS,0.24302828980874058,0.10418090935590846,0.00607505125981004,0.6180997793242827,0.4592053696273628,0.18366237066273428,0.1978398198016839,53.64789467578182,15.162661345583697,6.54668322715151,0.8682143338934241,0.9118547945437622,1.7909788325402058,1.7734955739439455,7.364920872550119,0.621445602474356,0.4707273048221086,0.5899470451209169,1,0.12515878379507722,478.4969826998702,6.901637356376059,0.18537460805750997,0,0,1.5960915262628022,5.407918557455165,16.303612297525586,1.8140028698813715,0.5704896251814782,-0.2,0.4118207657883116,6.126078125016253,0,-0.04702225230496383,-0.009433403167331544,-0.19717574221706238,0
IPO_0005,2023,Infra,0.23815547118930222,0.11329851334779037,-0.03812016012118759,1.0827483870831398,1.3639234218684382,-0.059990198572512254,0.19229953282473283,36.94022423733476,9.79974275547308,23.862381787569618,0.9687013192709641,1.1110754484304293,1.8329839238778538,0.5,1.9646140855033496,0.46469884747283585,0.22145067271402724,0.4166829053361141,0,0.32948469918543405,305.7136998886143,3.2168763573320645,0.15246543910205265,0,0,0.2511503020282842,3.464849717893427,5.584002470281576,2.150228800977271,1.2735565616105506,0.47271515585849666,0.10670577916334364,8.365635112525904,1,0.0919716858174982,0.08991854848172218,0.5260476107297243,2
IPO_0006,2014,Financials,0.15496081048371524,0.20788891138024765,-0.013302493189590023,0.34456554107184123,0.5569473167037893,0.0714322971732497,0.030107543440945767,121.18915562462485,-15.244855028668404,0.9756416930499018,0.8125472358788484,1.8693322716825838,1.5741681600826998,0.5,4.857210374432755,0.49664137449332907,0.12899650564617438,0.34697626427904704,0,0.189113495690465,2175.987834271701,5.043618052514818,0.23573618340426133,0,0,1.725187968770274,2.049327338406131,1.1270364234293277,2.192203660617938,2.689664724802211,0.06789965847934941,0.6032447257991274,8.42618653129128,1,0.1427847669431957,0.23342176640211665,-0.1918690949937207,0
IPO_0007,2021,Infra,0.3025163800801186,0.18808271279285438,0.013145277874709371,1.6022533592946133,0.36819225691406654,0.27045075516061556,0.08586856445643515,92.43731315165074,6.507190701301975,17.26476900424498,1.0208064363119946,0.3160191666960439,1.5066030152564305,1.3268430099998048,3.2089074291872333,0.21810591265732546,0.17884775588093996,0.5121418108441049,0,0.08079261415546386,776.8378305092145,5.12495845418384,0.21262153296623773,0,0,0.27800443216539494,3.5203832200985694,3.6869544697455234,1.0095804787362783,2.782177850542015,0.6955787546864898,0.24948781393311514,8.089984382773162,1,0.1921086822306828,0.2725943672077718,0.22443251729908756,2
IPO_0008,2016,Industrials,0.27376278018722305,-0.1393643963026195,0.012741174587914877,0.5194654520964299,1.1179280347388871,0.15792150478041395,0.16720011068831886,97.06658697308471,22.575441161933398,2.4509515359248,1.3895047088192114,1.0615160552428893,2.188455780579714,1.2732540322332322,3.2616692313935234,0.22971404696573777,0.31808745008826644,0.6479393870166653,0,0.31841370121416335,253.77192799549323,6.0220179163946455,0.15757152513617773,1,0,0.09019841905672144,6.66435655165027,3.013913493303478,6.9494014100733255,9.292731401622001,0.14690078205219323,0.4037475884980305,5.843256062136849,0,0.18222307117789754,0.21505283567710415,-0.29885378220289294,0
IPO_0009,2015,Industrials,0.3677587512847792,0.06460491561298544,-0.01807349832799521,1.100542716311233,1.1969796816880818,0.008299108689701407,0.07716800146115872,142.5951816597576,6.979528374075721,2.712013874630695,1.0962286403020018,1.6826755403665055,2.1673745439678824,1.5633810383310502,2.533321467765924,0.10704674229686341,0.1535398413004618,0.6124982097687987,0,0.16708176660925936,6216.399247617331,6.671526511480667,0.1843676793381191,1,0,0.36200545312804816,5.644086236282646,2.1792088082318557,8.21230979827038,0.8196766466845008,0.21394434684886834,-0.07087911903924451,8.223009037815466,0,0.13923066586094413,0.2446576753337204,0.06334843272444611,1
IPO_0010,2019,Chemicals,0.10180156220440728,0.07682791779648389,0.008168961009994698,1.3829888148715672,1.5652283975864183,0.38558211815981513,0.11216335596989017,27.532094955664213,-7.236815306173996,1.3501234756823073,0.3110320610100763,0.7859918378932513,12.174036398087942,1.0102955058582026,1.6943863956475296,0.22363199182805987,0.31963324321688796,0.41787445032488835,1,0.29844630383346443,179.34543230498593,6.7328754875614605,0.057045110914991086,0,0,0.21242294435322065,6.389170165075846,3.259259978064436,1.7181903858485732,1.3008845113010548,0.0720621423363679,0.606490439050885,6.860162494469284,0,0.04043697742757191,-0.07073622832665691,-0.0038887680200486163,1
IPO_0011,2024,Infra,0.11468887905840565,-0.050167885818157704,0.025448144507209444,1.0423842721024963,1.1045896878031638,0.14710582676852352,0.18413586925299497,50.158817932826004,4.254636995348912,1.5233824616891447,0.8142457457956811,1.014864475829732,1.9830813759956574,2.5314149994713535,1.520256027326954,0.09879265227594955,0.14486378904794323,0.5705387627533012,0,0.3695696281684982,823.3007849012669,6.928620420186879,0.22643562864404088,0,0,2.5295520918105083,5.815572003858135,8.3016501276907,1.6966856366207077,2.0442212891383065,0.24085229227103944,0.14911269644661107,5.122107399969413,1,0.13057703245185587,0.06263447885673601,0.07380858078099681,1
IPO_0012,2022,Auto,0.10813452436320298,0.09753464465858497,0.020541459179817964,0.897234995909819,1.3035611105008833,0.18843339593134079,0.10512273187986981,82.1070006975613,-8.245498010728536,5.830892713318905,0.4662702913487864,1.232695594022216,3.579847396948906,1.496362993627665,7.668179495408272,0.2989994255387311,0.2029211561951888,0.6830689608213351,0,0.42460350657780904,135.73754772664245,5.472583113100743,0.2413245695206293,0,0,2.0840906924780267,3.3461024262827412,1.399462588852905,0.5621242354879975,1.3249580583869471,1.0491418387632767,0.623031323051318,6.763403039055754,0,0.0657082806233852,0.47342536085578363,0.1597489246229984,2
IPO_0013,2022,Auto,0.29862025817684834,0.1899006217928405,0.003094284259721309,0.8554010424280075,0.9864198989288253,0.18995247560451345,0.16260595891020255,49.605904300744115,11.862429514150877,1.490186495212047,1.2598271016917955,1.1738034214891122,1.7134238614391424,1.5397290671097352,2.9106506501350866,0.06461554465508798,0.2644686149103434,0.37410014360997784,0,0.3007341609588617,1176.9224695523512,7.537044445662257,0.5062521618278714,1,0,0.24181349948989364,6.397780715494028,2.1922552217779283,3.981041632668486,0.7845646613696307,0.09275775221597672,0.5574459861858095,7.771347027711315,0,0.0003395581338884873,0.026006077930485275,0.28869283818100794,2
IPO_0014,2021,New-Age Tech,0.4047561660445098,0.0030745712327527736,-0.004359526266485849,0.8217794515564464,0.6786993176120171,0.1132404533839814,0.2992728456019569,110.24114408726025,-5.647060704223404,7.895207266839879,1.3764928138243844,1.7263081901817658,1.6960862301513167,1.5183403264442272,5.339652883196532,0.4426586989169179,0.1898484689846106,0.5594733052064791,0,0.12835328472280075,472.9034758938612,9.213932665327386,0.2662574753807239,1,0,3.3710866156910764,6.054331397579084,10.789192767729622,21.474777196450344,1.3818864451909598,0.49908212949842284,0.22729140255147556,3.3445642176492036,1,0.08190623371544786,0.21668429341843246,0.14964195339239977,2
IPO_0015,2022,Auto,0.1111739260276049,0.11691207509518978,-0.007586889686690089,0.5616507555362489,0.589551736092008,0.07724263181786056,0.12281412010130026,66.56703505932072,2.5939490775361844,2.232965578278234,1.265446699834374,1.279389524029293,0.6952412090934638,2.0017459213688467,6.2397752405322,0.7630560048464695,0.01571672945963494,0.75,0,0.5756687950828934,2037.0843317175384,5.97001266882631,0.21769183537261533,0,0,0.8385389887758655,4.788530034919377,5.828474649865445,21.4972645837115,1.741024159025212,0.20265842939763729,0.2717060793303877,3.8791655967435417,0,0.17584743262984054,0.28835024302396717,-0.19049086501523063,0
IPO_0016,2019,Infra,0.11628394083103631,0.016734121816284975,0.014356395658193143,0.6252582851151478,0.4539320438573936,0.362167498506594,0.25793378097192066,30.336023662626467,-4.862240015934781,1.3610678489931929,0.7956680230152755,1.6311091582056878,0.7732962952200347,1.7456104486906785,2.1244051673423843,0.4604060528606138,0.16606741042051587,0.3587601767059153,0,0.09482708468538363,882.3718922610061,5.504497748849527,0.03329200941017837,1,0,0.3366364777585968,5.105912339441528,15.408729143578014,1.1065823674882362,9.46446695205851,0.4734483278631726,0.0960191211212465,5.71277483640442,0,0.09523131131908383,0.16144830501175225,0.1412890129545309,2
IPO_0017,2015,Industrials,0.22711158358046987,0.03624703810562585,0.008902079462857761,1.5897951868254676,0.20806710430743502,0.25032058696177506,0.19593700673073583,77.95972538344478,-2.371584460383928,2.5217970646746894,1.2610842681090473,0.9559966570760355,1.0349999477948786,1.6652107398249676,3.5046948647237604,0.12364309226256977,0.07034701054287622,0.7233289436574264,0,0.5446197277679059,3465.4846743757703,5.472002264133691,0.08047197022064773,0,0,5.00564555773325,6.426438542032141,18.59736048268479,53.88152477161309,0.8023327084183278,-0.2,-0.09575486033162203,3.556483750331445,0,0.19415573112767615,0.07557821570389597,0.40440950337288806,2
IPO_0018,2023,Pharma,0.1431357749980648,0.20819149073360282,0.01758808012204401,0.7957316836574216,0.25557248599347177,0.23219372011086764,-0.006724199348676657,82.66524468630546,13.88920516688396,5.4905941438028725,0.9384485849040061,0.8037898354998814,3.1485986089792584,1.8415904629193545,2.7926932849229194,0.3654256713792609,0.07823348969958246,0.75,0,0.13809246947966744,584.2249415741172,6.628201739795737,0.40843789504799555,0,0,0.33036185740131185,3.6509912317190794,0.6487879531639069,1.5789228888767604,5.028815917670909,0.6662220182137373,0.3285594564166474,3.5279411608769387,1,0.014225099591895059,0.4643898726570783,0.4232590377072343,2
